problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.03600311279296875; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1106.764775793335; nan; 120580; 54451; 26222; 270037; 565760; optimal; 213.43929505348206; False;  
ID007_M015_J020; manne; 15; 20; True; 1090.0; 1478.0; 0.26251691474964395; 6000; 3151; 1731; 90675228; 17700; time limit exceeded; 3600.0121681690216; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 1034.9043587343892; 12220.0; 0.9153106089415318; 120580; 54451; 17400; 894583; 565760; time limit exceeded; 3600.0629031658173; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.04252982139587402; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1027.552181617564; nan; 120580; 54451; 26127; 261220; 565760; optimal; 419.4074580669403; False;  
ID008_M015_J020; manne; 15; 20; True; 1066.9902266368224; 1353.0; 0.21138933729723314; 6000; 3151; 1727; 123052502; 17700; time limit exceeded; 3601.2956249713898; True;  
ID008_M015_J020; minla_fav; 15; 20; True; 1036.5890180347767; 11976.0; 0.9134444707719717; 120580; 54451; 17400; 741528; 565760; time limit exceeded; 3600.0617051124573; True;  
ID008_M015_J020; manne; 15; 20; False; nan; 920.0; nan; 6000; 3151; 1937; 1936; 17700; optimal; 0.043154001235961914; False;  
ID008_M015_J020; minla_fav; 15; 20; False; nan; 1026.7776761323119; nan; 120580; 54451; 24614; 180970; 565760; optimal; 355.1895201206207; False;  
ID009_M015_J020; manne; 15; 20; True; 1074.6320091782654; 1422.9999998385063; 0.24481236170045817; 6000; 3151; 1624; 80938279; 17700; time limit exceeded; 3600.0134100914; True;  
ID009_M015_J020; minla_fav; 15; 20; True; 1029.3753248411108; 11989.0; 0.9141400179463507; 120580; 54451; 17400; 782551; 565760; time limit exceeded; 3600.0775299072266; True;  
ID009_M015_J020; manne; 15; 20; False; nan; 928.0; nan; 6000; 3151; 1839; 1838; 17700; optimal; 0.03697776794433594; False;  
ID009_M015_J020; minla_fav; 15; 20; False; nan; 1027.000302679242; nan; 120580; 54451; 25286; 492270; 565760; optimal; 563.529699087143; False;  
ID000_M020_J020; manne; 20; 20; True; 1367.7073598792285; 1616.9999999999998; 0.15416984546738147; 8000; 4201; 2141; 59975874; 23600; time limit exceeded; 3600.012106895447; True;  
ID000_M020_J020; minla_fav; 20; 20; True; 1231.0839128324633; 15387.0; 0.9199919469141122; 160780; 72601; 27000; 591996; 754360; time limit exceeded; 3600.087257862091; True;  
ID000_M020_J020; manne; 20; 20; False; nan; 1217.0; nan; 8000; 4201; 2182; 2181; 23600; optimal; 0.05270504951477051; False;  
ID000_M020_J020; minla_fav; 20; 20; False; nan; 1219.092471032258; nan; 160780; 72601; 36751; 354204; 754360; optimal; 596.318375825882; False;  
ID001_M020_J020; manne; 20; 20; True; 1346.8723404255293; 1644.0; 0.1807345861158471; 8000; 4201; 2250; 47951195; 23600; time limit exceeded; 3600.0137848854065; True;  
ID001_M020_J020; minla_fav; 20; 20; True; 1265.030323961554; 16801.0; 0.9247050577964618; 160780; 72601; 27000; 522099; 754360; time limit exceeded; 3600.0800728797913; True;  
ID001_M020_J020; manne; 20; 20; False; nan; 1223.0; nan; 8000; 4201; 2520; 2519; 23600; optimal; 0.06327700614929199; False;  
ID001_M020_J020; minla_fav; 20; 20; False; nan; 1223.0; nan; 160780; 72601; 32778; 427381; 754360; optimal; 735.5397658348083; False;  
ID002_M020_J020; manne; 20; 20; True; 1343.245283018868; 1637.0; 0.17944698654924504; 8000; 4201; 2220; 53472326; 23600; time limit exceeded; 3600.0185730457306; True;  
ID002_M020_J020; minla_fav; 20; 20; True; 1237.0; 16329.0; 0.9242452079122976; 160780; 72601; 27000; 461484; 754360; time limit exceeded; 3600.1103398799896; True;  
ID002_M020_J020; manne; 20; 20; False; nan; 1164.0; nan; 8000; 4201; 2459; 2458; 23600; optimal; 0.06457114219665527; False;  
ID002_M020_J020; minla_fav; 20; 20; False; nan; 1212.6638655338218; nan; 160780; 72601; 34344; 183384; 754360; optimal; 142.85994601249695; False;  
ID003_M020_J020; manne; 20; 20; True; 1320.581337340186; 1674.0; 0.2111222596534007; 8000; 4201; 2147; 64363815; 23600; time limit exceeded; 3600.011713027954; True;  
ID003_M020_J020; minla_fav; 20; 20; True; 1232.3017452929446; 15509.0; 0.9205427980338489; 160780; 72601; 23200; 750861; 754360; time limit exceeded; 3600.0880608558655; True;  
ID003_M020_J020; manne; 20; 20; False; nan; 1151.0; nan; 8000; 4201; 2431; 2430; 23600; optimal; 0.062367916107177734; False;  
ID003_M020_J020; minla_fav; 20; 20; False; nan; 1216.4953176804386; nan; 160780; 72601; 33005; 241550; 754360; optimal; 262.31841492652893; False;  
ID004_M020_J020; manne; 20; 20; True; 1343.0; 1703.9999999999998; 0.21185446009388417; 8000; 4201; 2134; 54127221; 23600; time limit exceeded; 3600.0608460903168; True;  
ID004_M020_J020; minla_fav; 20; 20; True; 1304.6048947170138; 14010.0; 0.9068804500558812; 160780; 72601; 27000; 619087; 754360; time limit exceeded; 3600.089171886444; True;  
ID004_M020_J020; manne; 20; 20; False; nan; 1170.0; nan; 8000; 4201; 2411; 2410; 23600; optimal; 0.06379389762878418; False;  
ID004_M020_J020; minla_fav; 20; 20; False; nan; 1298.3246451115265; nan; 160780; 72601; 35176; 420913; 754360; optimal; 644.1106140613556; False;  
ID005_M020_J020; manne; 20; 20; True; 1354.2666666666655; 1654.000000000002; 0.18121725110841477; 8000; 4201; 2211; 61998328; 23600; time limit exceeded; 3600.014549970627; True;  
ID005_M020_J020; minla_fav; 20; 20; True; 1283.4098349794065; 16161.0; 0.9205859888014666; 160780; 72601; 27000; 666143; 754360; time limit exceeded; 3600.064927816391; True;  
ID005_M020_J020; manne; 20; 20; False; nan; 1207.0; nan; 8000; 4201; 2517; 2516; 23600; optimal; 0.06255698204040527; False;  
ID005_M020_J020; minla_fav; 20; 20; False; nan; 1276.4732472538567; nan; 160780; 72601; 35183; 403240; 754360; optimal; 469.40244579315186; False;  
ID006_M020_J020; manne; 20; 20; True; 1424.951902412679; 1741.0; 0.18153250866588336; 8000; 4201; 2224; 58195590; 23600; time limit exceeded; 3600.0254361629486; True;  
ID006_M020_J020; minla_fav; 20; 20; True; 1325.1395121951214; 17369.0; 0.9237066318040641; 160780; 72601; 27000; 512735; 754360; time limit exceeded; 3600.107419013977; True;  
ID006_M020_J020; manne; 20; 20; False; nan; 1291.0; nan; 8000; 4201; 2417; 2416; 23600; optimal; 0.062294960021972656; False;  
ID006_M020_J020; minla_fav; 20; 20; False; nan; 1291.0; nan; 160780; 72601; 36292; 300053; 754360; optimal; 622.4999279975891; False;  
